Camp_Name,enum_name,enum_nub,coordinates_latitude,coordinates_longitude,governorate,district,site_typology,area,sub_site,site_name,month,camp_mngt,camp_mngmt_office,camp_mngmt_male_staff,camp_mngmt_female_staff,camp_committee,population_tracking,presence_of_camp_mobile_team,camp_mobile_team_agency,camp_distribution_announcement,plots/occupied_plots,plots/no_of_shelters,has_concrete_slabs,shelter_types,shelter_types/modm_tents,shelter_types/modm_tents_repairs,shelter_types/unhcr_tents,shelter_types/unhcr_tents_repairs,shelter_types/afad_tents,shelter_types/afad_tents_repairs,shelter_types/other_tents,shelter_types/other_tents_repairs,shelter_types/caravans,shelter_types/RHU,shelter_types/improvised_makeshift_shelter,shelter_types/semi-permanent structure(plastic sheeting_corrugated_iron),total_hh/total_families,ind_ages/ind_age_groups/males_0_4,ind_ages/ind_age_groups/females_0_4,ind_ages/ind_age_groups/males_5_17,ind_ages/ind_age_groups/females_5_17,ind_ages/ind_age_groups/males_18_59,ind_ages/ind_age_groups/females_18_59,ind_ages/ind_age_groups/males_60_over,ind_ages/ind_age_groups/females_60_over,ind_ages/total_population,ind_ages/vulnerabilities_groups./F_HoH,ind_ages/vulnerabilities_groups./Child_HoH,ind_ages/vulnerabilities_groups./ppl_physical_dis,ind_ages/vulnerabilities_groups./ppl_mental_dis,ind_ages/vulnerabilities_groups./ppl_chronic_disease,ind_ages/vulnerabilities_groups./elderly_at_risk,nfi_items/blankets,nfi_items/mattress,nfi_items/kitchen_nfi,nfi_items/fuel,nfi_items/oven,nfi_items/water_container,nfi_items/kerosene cooking/ fuel distribution on the camp ?,Is the camp subjected to Flood Risk?,Number of fire incidents during this year,What is the main source of electricity in the camp?,Water: Number of  litters/person/day,What is the primary method of waste disposal by families?,Number of functional latrines in the camp,Number of functional shower/bathing facilities in the camp,lightning_around_latrines,Illness_in_site,PHC,SHC,children_under_5_vaccinatedfor_poliomeasles,access_to_food,food assistance frequency,Are there movement restrictions in and out of the camp?,Are there areas where women and girls do 0t feel safe?,families_missing_documentation,distance to accessible counrts and civil registration office (kms),functioning_primary_school,functioning_secondary_school,Approximately how many school-aged children have access to formal school?,What are the primary challenges to accessing formal education (select up to 3)?,informal_education_activities_available,access_to_informal_education,Nearest market available(kms),Items not available at market,primary_livelihood_sources,how_many_earn_income_last_30_days,young_people(under_18)_work_in_last_30_days,PROTECTION,GBV,CHILD PROTECTION,EDUCATION,SHELTER,WATER,SANITATION,WASTE MANAGEMENT,NFI,PHC,SHC,MHPSS,NUTRITION,FOOD,SOCIAL COHESION,LIVELIHOOD,COMMUNICATION
Hasansham U3,Mevan Saddeq Akreyi,,36.32304,43.5395,Ninewa,Hamdaniya,Camp,,IQ1503-0030,IQ1503-0030,May,Yes,Yes,17,12,Camp Management Committee WASH Committee,Access Database based,1,BCF,Camp Management Team,1936,346,0,UNHCR Tents,,,1936,1000,,,,,,,,,1260,380,408,1405,1345,497,764,53,110,,494,1,168,21,36,0,0,0,0,1,0,1,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",6,Centralized generators,35,Communal garbage bin,484,484,0,"Numerous cases of diarrhoea Skin diseases (scabies, contagious rashes, etc.) Physical disabilities",1,1,0,0,Every month,1,0ne,500,1,1,1,1,0t e0ugh teachers 0t e0ugh learning materials Physical/ logistical constraints,1,1,,Everything needed is available,Commercial agriculture Humanitarian aid Selling assets,60,0,Al Massalla IOM Qandil UNHCR ,Al Massalla ,IOM ,UNICEF,UNHCR ,UNICEF other (specify) EJCC,other (specify) EJCC,other (specify) EJCC,UNHCR ,BCF , ,MSF ,UNICEF ,WFP , ,BCF ,
Iraq Camp (AAF14),Saddam,,33.14220445,43.85251333,Anbar,Falluja,Camp,,IQ0102-0019-014,IQ0102-0019-014,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,NGO Word of Mouth Camp Committees,236,55,0,MoMD Tents,125,25,,,,,,,,,,,75,15,16,62,61,87,96,8,7,,30,0,3,1,8,1,1,1,0,0,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",0,Electricity grid,25,Communal garbage bin,88,88,0,"Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,1,0ne,3,4,1,1,50,0t e0ugh teachers 0t e0ugh learning materials Physical/ logistical constraints,1,40,,"Tools, hardware and materials",Unskilled agricultural labour Pension from government Social security,10,4,DRC IRC Terre des Hommes ,TRIANGLE ,"DRC other (specify) SSORD,CRS",DoE NRC UPP,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) MERCY CORPS, ,Dary , ,SSH ,WFP ,World Vision , , ,
Kabarto 1,Ali Sidqe Adam,,36.785917,42.862761,Dahuk,Dahuk,Camp,,IQ0803-0002,IQ0803-0002,May,Yes,Yes,4,4,Camp Management Committee WASH Committee,LMMS,0,,Camp Management Team Word of Mouth Camp Committees,0,0,0,MoMD Tents UNHCR Tents,3000,250,0,0,,,,,,,,,2593,831,866,2358,2402,2303,2480,280,329,,532,9,261,8,536,4,0,0,0,1,0,0,0,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,7,Generators privately owned,48,Municipal collection,3000,3000,1,0ne,1,1,0,1,Between 2 and 3 months,0,0ne,2000,18,1,1,3785,0t e0ugh teachers Physical/ logistical constraints,1,500,1,Everything needed is available,Casual unskilled labour Self-employment Pension from government,2000,0,HARIKAR PDO UNHCR VOP War Child ,HARIKAR UNHCR ,UNHCR War Child ,DoE Ministry of Education,B.R.H.A QANDIL UNHCR ,B.R.H.A UNICEF ,B.R.H.A UNICEF ,B.R.H.A UNICEF ,MOMD World Vision ,HEIVE ,DOH HEIVE Ministry of Health ,HARIKAR HEIVE , , , , ,
Khanke,,,36.78051,42.77338,Dahuk,Sumel,Camp,,IQ0803-0005,IQ0803-0005,May,Yes,Yes,8,2,Camp Management Committee,LMMS,0,,Camp Management Team Word of Mouth,0,0,1,UNHCR Tents,,,3120,120,,,,,,,,,2835,898,909,2873,2800,2769,2876,312,400,,111,8,270,58,541,483,1,1,0,0,0,0,0,"Low: The campsite is well-drained, yet some areas get water stagnant.",1,Electricity grid Generators privately owned,75,Municipal collection,1561,894,1,Physical disabilities,1,1,0,1,Every month,0,0ne,20,22,1,1,7663,0ne,1,50,,Everything needed is available,Commercial agriculture Public sector/ civil servant,40,0,B.R.H.A HARIKAR PDO UNHCR WADI War Child ,B.R.H.A HARIKAR PDO War Child ,B.R.H.A War Child other (specify) fyf,AMMAR FOUNDATION B.R.H.A Ministry of Education UNICEF,B.R.H.A UNHCR ,B.R.H.A UNICEF ,B.R.H.A UNICEF ,B.R.H.A , ,AMMAR FOUNDATION DOH UNFPA UNICEF ,DOH other (specify) ?????? ????,AMMAR FOUNDATION HARIKAR UNFPA other (specify) fyf -pdo,WFP ,World Vision ,B.R.H.A ,B.R.H.A ,B.R.H.A
Khazer M1,Twana Jumah Anwer,,36.156107,44.07032,Ninewa,Hamdaniya,Camp,,IQ1503-0010,IQ1503-0010,May,Yes,Yes,33,8,Camp Management Committee,ASSIST,0,,Camp Management Team Community leaders Camp Committees,5000,150,0,MoMD Tents,2000,1500,,,,,,,,,,,1305,422,456,1638,1561,642,896,52,125,,275,0,112,26,220,0,0,0,0,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",3,Centralized generators,35,Communal garbage bin,834,869,0,Other,1,0,60,1,Every month,0,Water point,200,30,1,1,1500,0t e0ugh schools or classrooms 0t e0ugh teachers 0t e0ugh learning materials,1,700,,"Tools, hardware and materials",Gifts (in-kind or cash from friends and relatives) Loans Humanitarian aid,120,0,Al Massalla Qandil TRIANGLE ,Al Massalla ,TRIANGLE ,DoE NRC, ,UNICEF ,UNICEF ,UNICEF ,UNHCR ,IMC , ,MSF , ,MOMD WFP , , ,
Kiram Al Fallujah Camp (AAF16),Abdulmohaimen ,,33.13987135,43.85114894,Anbar,Falluja,Camp,,IQ0102-0019-016,IQ0102-0019-016,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,Camp Management Team Word of Mouth NGO,138,21,Partially,Caravans MoMD Tents,40,10,,,,,,,36,,0,0,25,5,3,12,11,23,22,2,2,,13,2,1,0,6,0,1,0,0,1,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",0,Electricity grid,25,Communal garbage bin,48,30,0,"Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,1,0ne,4,4,1,1,20,0t e0ugh teachers Long distance to travel to school Physical/ logistical constraints,1,10,,"Tools, hardware and materials",Humanitarian aid Self-employment,6,3,DRC IRC IMC ,UIMS ,DRC ,UNICEF NRC DoE,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps , ,Dary , ,IMC , ,WFP , , ,
Latifiya 1,Mahmoud Al-Najjar,,32.967664,44.351814,Baghdad,Mahmoudiya,Camp,,IQ0706-0004,IQ0706-0004,May,Yes,No,2,0,Camp Management Committee Women committee Youth committee Distribution Committee Maintenance Committee Other Committee,Excel based,1,IRD,Camp Management Team Community leaders Camp Committees,15,33,0,Other Tents,,,,,,,33,33,,,,,33,6,5,50,35,17,13,0,1,,15,7,5,5,5,1,0,0,0,0,1,0,0,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",2,Electricity grid Generators privately owned,10,Throw in street/ open place,11,11,0,"Numerous cases of diarrhoea Skin diseases (scabies, contagious rashes, etc.) Numerous cases of fever Numerous cases of respiratory diseases Physical disabilities Mental disabilities",1,1,24,1,Between 2 and 3 months,0,0ne,0,1,0,0,2,"0t e0ugh schools or classrooms Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",0,0,5,Everything needed is available,Unskilled wage labour Casual unskilled labour Humanitarian aid,15,2, , , ,, ,Sabaa Sanabul , , ,other (specify) 0ne, , , , , , , ,
Latifiya 2,Mahmoud Al-Najjar,,32.967664,44.351814,Baghdad,Mahmoudiya,Camp,,IQ0706-0003,IQ0706-0003,May,Yes,No,2,0,Camp Management Committee Women committee Youth committee Distribution Committee Maintenance Committee Other Committee,Excel based,1,IRD,Camp Management Team Community leaders Camp Committees,27,15,0,Other Tents,,,,,,,15,15,,,,,15,4,9,14,23,9,9,0,0,,4,0,4,1,2,0,0,0,0,0,1,0,0,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,0,Electricity grid Generators privately owned,10,Throw in street/ open place,8,8,0,"Numerous cases of diarrhoea Skin diseases (scabies, contagious rashes, etc.) Numerous cases of fever Numerous cases of respiratory diseases Physical disabilities Mental disabilities",1,0,13,1,Between 2 and 3 months,0,0ne,0,1,0,0,2,"0t e0ugh schools or classrooms Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",0,0,1,Everything needed is available,Unskilled wage labour Casual unskilled labour Humanitarian aid,15,0, , , ,, ,Sabaa Sanabul , , , , , , , , , , ,
Laylan 2,Zana Omar,,35.329739,44.529241,Kirkuk,Kirkuk,Camp,,IQ1302-0008,IQ1302-0008,May,Yes,Yes,15,2,Women committee Youth committee,Excel based,0,,Loudspeakers,922,692,1,UNHCR Tents,,,692,0,,,,,,,,,500,327,324,548,508,209,337,15,50,,48,0,50,64,50,0,0,0,0,0,1,0,0,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,1,Electricity grid,32,Private collection,300,300,1,0ne,1,1,305,1,Every month,0,0ne,69,5,1,1,2,0ne,1,2,,Kerosene,Unskilled agricultural labour Unskilled wage labour Self-employment,100,16,other (specify) HAI,IRC ,Terre des Hommes ,Ministry of Education,other (specify) Unk0wn Mercy C,Unk0wn ,other (specify) Mercy Corps,other (specify) Mercy Corps,UNHCR ,MEDAIR , ,Unk0wn , ,WFP , , ,
Laylan IDP,Sameer Abdullah Salih,,35.32785,44.52836,Kirkuk,Kirkuk,Camp,,IQ1302-0001,IQ1302-0001,May,Yes,Yes,27,4,Women committee Youth committee Other Committee,Excel based,0,,Camp Management Team Community leaders Loudspeakers,2005,1534,1,UNHCR Tents,,,1534,0,,,,,,,,,1092,272,275,1638,1490,628,855,49,113,,182,0,113,2,87,1,0,0,0,1,0,0,0,"Low: The campsite is well-drained, yet some areas get water stagnant.",6,Electricity grid,35,Communal garbage bin,519,519,1,"Numerous cases of diarrhoea Skin diseases (scabies, contagious rashes, etc.) Numerous cases of respiratory diseases Other",1,1,0,0,Between 2 and 3 months,0,0ne,63,2,1,0,1730,0t e0ugh teachers,0,0,,Kerosene,Unskilled wage labour Pension from government Social security,200,0,FUAD IRC other (specify) Heart land alliance,IRC Islamic Relief ,FUAD ,DoE UNICEF,"other (specify) Blumont ,UNHCR partner",Laylan Water department other (specify) Mercy Corp,other (specify) Mercy Corp,other (specify) Mercy Corp,"other (specify) HRF ,UNHCR partner ,distributing CRI for new arrival IDP families",DOH World Vision , ,Zhyan , ,WFP , , ,
Mamilian,Halat J.Mamah,,36.681911,43.790535,Dahuk,Dahuk,Camp,,IQ1501-0002,IQ1501-0002,May,Yes,Yes,4,2,0 Committees,LMMS,0,,Camp Management Team Printed material (banners/posters/pamphlets) Loudspeakers,2581,2581,1,MoMD Tents,419,419,,,,,,,,,,,203,96,85,192,170,110,170,23,28,,72,0,45,7,123,30,0,1,0,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid Centralized generators,230,Municipal collection,419,0,1,0ne,0,0,0,1,Between 2 and 3 months,0,0ne,30,15,1,0,245,0t e0ugh schools or classrooms 0t e0ugh teachers 0t e0ugh learning materials,1,0,,"Basic households items (e.g. mattress, blankets, kitchen utensils) Tools, hardware and materials",Humanitarian aid,204,20, , , ,DoE, ,other (specify) PWJ,other (specify) PWJ,PWJ ,MOMD other (specify) PWJ, , , , , , , ,
Muskar Saad Camp,Adel Al-Dibbak,,33.751572,44.665765,Diyala,Ba'quba,Camp,,IQ1002-0007,IQ1002-0007,May,Yes,Yes,2,0,Camp Management Committee Distribution Committee Maintenance Committee,Paper based,0,,Printed material (banners/posters/pamphlets) Community leaders Camp Committees,195,195,0,Caravans,,,,,,,,,195,,0,0,139,55,69,96,115,75,35,11,14,,25,4,17,4,65,13,0,1,0,0,0,0,1,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,2,Electricity grid Generators privately owned,50,Municipal collection,139,139,1,"Numerous cases of diarrhoea Skin diseases (scabies, contagious rashes, etc.) Numerous cases of fever Physical disabilities Mental disabilities Typhoid Hepatitis A/E Soil transmitted helminths (intestinal worms)",1,1,0,1,Between 2 and 3 months,0,0ne,30,3,1,1,1,0t e0ugh schools or classrooms 0t e0ugh teachers 0t e0ugh learning materials,0,0,,"Basic food items Water Tools, hardware and materials Hygiene items",Self-employment Low skilled service industry Humanitarian aid,4,45,DRC UNFPA UNHCR ,UNFPA UNHCR ,DRC UNHCR ,Ministry of Education, , , , ,MOMD UNHCR ,DOH , ,UNFPA , ,MOMD , , ,
Qayyarah-Jad'ah 1 & 2,Zaid Aslar,,35.44,43.16,Ninewa,Mosul,Camp,,IQ1505-0010-001,IQ1505-0010-001,May,Yes,Yes,10,0,Camp Management Committee Women committee Youth committee Maintenance Committee WASH Committee Other Committee,Excel based,1,IOM,Camp Management Team Community leaders Camp Committees,2414,70,1,MoMD Tents,24814,2414,,,,,,,,,,,2345,615,627,1829,1699,884,1239,311,455,,239,23,50,27,214,245,0,0,1,0,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",3,Electricity grid,50,Municipal collection,370,290,1,"Skin diseases (scabies, contagious rashes, etc.) Numerous trauma-related injuries Physical disabilities Mental disabilities",1,0,0,1,Every month,0,Feeding centre/ distribution point WASH facilities (latrines/ bathing),150,3,1,1,1000,Physical/ logistical constraints Lack of documentation,1,600,,"Basic households items (e.g. mattress, blankets, kitchen utensils)",Casual unskilled labour Public sector/ civil servant Humanitarian aid,100,0,IMC Intersos Terre des Hommes WRO ,IMC Terre des Hommes WRO ,Terre des Hommes WRO ,DoE Save the Children,RNVDO ,UNICEF ,UNICEF ,UNICEF ,MOMD WFP ,IMC , ,IMC ,other (specify) DAMA,MOMD WFP ,IOM other (specify) RNVDO,IOM ,IOM RNVDO
Qayyarah-Jad'ah 3,Mohammed Ahmed,,35.751249,43.27008,Ninewa,Mosul,Camp,,IQ1505-0010-002,IQ1505-0010-002,May,Yes,Yes,7,0,Camp Management Committee Women committee Youth committee Distribution Committee Maintenance Committee WASH Committee Other Committee,Excel based,1,IOM,Camp Management Team Community leaders Camp Committees,1950,51,1,MoMD Tents,1950,1950,,,,,,,,,,,1865,380,377,1538,1522,914,1169,83,151,,284,23,76,44,194,175,0,0,1,0,1,0,1,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,2,Electricity grid,50,Municipal collection,279,273,1,"Skin diseases (scabies, contagious rashes, etc.) Numerous trauma-related injuries Physical disabilities Mental disabilities",1,0,0,1,Every month,0,Feeding centre/ distribution point,60,3,0,0,360,"0t e0ugh schools or classrooms Long distance to travel to school Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,450,,"Water Tools, hardware and materials Basic medicine",Unskilled wage labour Public sector/ civil servant,300,0,IMC Intersos Terre des Hommes WRO ,IMC WRO ,Terre des Hommes WRO ,DoE Save the Children,RNVDO ,UNICEF ,UNICEF ,UNICEF ,MOMD WFP ,other (specify) HEEVIE, ,IMC MSF ,other (specify) DAMA,MOMD WFP ,IOM other (specify) RNVDO,IOM ,IOM RNVDO
Qayyarah-Jad'ah 4,Mohammed Mahir,,35.769915,43.265957,Ninewa,Mosul,Camp,,IQ1505-0010-003,IQ1505-0010-003,May,Yes,Yes,6,0,Camp Management Committee Women committee Youth committee Maintenance Committee WASH Committee Other Committee,Excel based,1,IOM,Camp Management Team Community leaders Camp Committees,1450,82,1,MoMD Tents,1450,1450,,,,,,,,,,,1356,268,308,1272,1239,831,682,62,123,,265,8,49,20,133,137,0,0,1,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",4,Electricity grid,50,Municipal collection,390,210,1,"Skin diseases (scabies, contagious rashes, etc.) Physical disabilities",1,0,25,1,Every month,0,0ne,5,3,1,0,227,"0t e0ugh schools or classrooms 0t e0ugh teachers Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,180,,"Basic food items Tools, hardware and materials Kerosene",Unskilled wage labour Casual unskilled labour Public sector/ civil servant,25,0,IMC Intersos Terre des Hommes WRO ,IMC WRO ,Terre des Hommes WRO ,DoE EOD Save the Children,RNVDO ,RNVDO UNICEF ,UNICEF ,UNICEF ,MOMD WFP ,other (specify) DARY, ,MSF other (specify) DARY,"other (specify) DARY, MSF",MOMD WFP ,IOM other (specify) RNVDO,IOM ,IOM RNVDO
Qayyarah-Jad'ah 5,Saad Khuder,,35.765,43.25513,Ninewa,Mosul,Camp,,IQ1505-0010-004,IQ1505-0010-004,May,Yes,Yes,7,0,Camp Management Committee Women committee Youth committee Maintenance Committee Other Committee,Excel based,1,IOM,Camp Management Team Community leaders Camp Committees,5242,857,1,MoMD Tents,5242,5242,,,,,,,,,,,4375,1241,1214,3800,3855,1887,2578,165,367,,283,284,126,63,130,407,0,0,1,0,1,0,1,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,9,Electricity grid,20,Municipal collection,1002,7527,1,"Skin diseases (scabies, contagious rashes, etc.) Numerous trauma-related injuries",1,0,0,0,Every month,0,0ne,300,3,1,0,1900,"0t e0ugh schools or classrooms 0t e0ugh teachers Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,400,,Water Basic medicine Kerosene,Unskilled wage labour Casual unskilled labour Public sector/ civil servant,700,50,IMC Intersos Terre des Hommes WRO other (specify) NP,IMC WRO ,Terre des Hommes WRO ,DoE EOD Save the Children,RNVDO ,MOMD RNVDO ,UNICEF ,UNICEF ,MOMD WFP ,Dary Zhyan , ,Dary MSF ,other (specify) DARY,MOMD WFP ,IOM other (specify) RNVDO,IOM ,IOM RNVDO
Qayyarah-Jad'ah 6,Thaqif Hazem,,35.75426,43.25645,Ninewa,Mosul,Camp,,IQ1505-0010-005,IQ1505-0010-005,May,Yes,Yes,7,0,Camp Management Committee Women committee Youth committee Maintenance Committee WASH Committee Other Committee,Excel based,1,IOM,Camp Management Team Community leaders Camp Committees,3409,312,1,MoMD Tents,3409,3409,,,,,,,,,,,3113,919,892,2285,2135,1289,1730,140,310,,481,22,206,83,85,450,0,0,1,0,1,0,1,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,1,Generators privately owned,40,Municipal collection,630,210,0,"Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,0,Feeding centre/ distribution point WASH facilities (latrines/ bathing),60,3,1,0,2700,0t e0ugh teachers 0t e0ugh learning materials Physical/ logistical constraints,1,600,,Water Kerosene,Unskilled wage labour Casual unskilled labour Public sector/ civil servant,30,0,IMC Intersos Terre des Hommes ,IMC Terre des Hommes ,Terre des Hommes ,"DoE EOD other (specify),TDH",RNVDO ,MOMD RNVDO ,UNICEF ,UNICEF ,MOMD WFP ,Zhyan other (specify) dama, ,MSF other (specify) DAMA,other (specify) DAMA,MOMD WFP ,IOM other (specify) RNVDO,IOM ,IOM RNVDO
Qoratu,Dewan Mohammed Abdalla,,34.5431,45.389852,Sulaymaniyah,Kalar,Camp,,IQ1004-0011,IQ1004-0011,May,Yes,Yes,6,3,Camp Management Committee Women committee Youth committee,Excel based,0,,Camp Management Team Community leaders Loudspeakers,1040,1040,1,UNHCR Tents,,,368,0,,,,,,,,,238,94,93,224,191,139,148,10,25,,48,3,18,5,81,28,0,1,0,0,0,1,0,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid,75,Municipal collection,369,369,1,0ne,1,1,10,1,Between 2 and 3 months,0,0ne,0,11,1,0,336,"Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",0,0,,Basic medicine,Casual unskilled labour Pension from government,50,130,YAO ,PDO ,other (specify) DoLSA,DoE,QANDIL ,Arche-0va ,Arche-0va ,Government / Local Authorities ,UNHCR YAO ,DOH , ,other (specify) Only PSS through PDO, ,MOMD , , ,UNOPS
Rwanga Community,,,37.055383,42.623616,Dahuk,Sumel,Camp,,IQ0803-0004,IQ0803-0004,May,Yes,Yes,7,2,0 Committees,LMMS,0,,Camp Management Team,0,3004,Partially,Caravans,,,,,,,,,3004,,0,0,2615,405,524,2325,2435,2576,2890,295,374,,270,0,150,20,245,290,0,0,0,0,0,1,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Generators privately owned,72,Private collection,3004,3004,1,Numerous cases of fever Numerous trauma-related injuries,1,0,0,1,Between 2 and 3 months,0,0ne,0,18,1,1,3717,0t e0ugh schools or classrooms 0t e0ugh teachers Physical/ logistical constraints,0,0,,Everything needed is available,Smallholder agriculture Self-employment Public sector/ civil servant,2615,0,B.R.H.A IOM UNHCR , , ,DoE,B.R.H.A ,B.R.H.A ,B.R.H.A ,B.R.H.A UNICEF ,MOMD World Vision ,DOH MEDAIR , ,DOH ,MOMD ,MOMD , , ,
Sabe Sanabul camp (AAF09),Tasneem M. Rajab,,33.14475238,43.8533695,Anbar,Falluja,Camp,,IQ0102-0019-009,IQ0102-0019-009,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,Camp Management Team NGO Word of Mouth,257,18,1,MoMD Tents,18,0,,,,,,,,,,,12,1,1,11,14,14,21,0,0,,2,0,1,0,3,0,0,1,0,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid,25,Communal garbage bin,16,5,0,"Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,1,0ne,0,4,0,0,5,"0t e0ugh teachers Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,6,1,"Tools, hardware and materials",Humanitarian aid,0,0,DRC IMC IRC ,UIMS ,"DRC Terre des Hommes other (specify) SSORD, CRS",DoE NRC UNICEF,IOM ,other (specify) SSORD,other (specify) SSORD,"other (specify) SSORD, Marcy corps", ,Dary , , , ,WFP , , ,
Shariya,,,36.811438,42.997918,Dahuk,Sumel,Camp,,IQ0803-0006,IQ0803-0006,May,Yes,Yes,8,3,Camp Management Committee Women committee Youth committee Distribution Committee Maintenance Committee WASH Committee,LMMS,0,,Camp Management Team Community leaders,4000,15,1,AFAD Tents,,,,,4000,4000,,,,,,,3090,868,986,3039,2927,2749,3007,276,414,,930,20,282,12,873,690,0,0,0,1,0,1,1,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,2,Electricity grid,80,Municipal collection,156,138,1,Numerous cases of diarrhoea,1,1,357,1,Between 2 and 3 months,0,WASH facilities (latrines/ bathing),700,19,1,1,4486,0t e0ugh schools or classrooms 0t e0ugh teachers 0t e0ugh learning materials,1,700,,Basic medicine Kerosene,Self-employment Public security official Social security,0,150,B.R.H.A IOM UNHCR , ,B.R.H.A IOM UNHCR ,B.R.H.A DoE Mission Enfance UNESCO UNICEF,B.R.H.A ,B.R.H.A other (specify) PWJ,B.R.H.A other (specify) PWJ,B.R.H.A Government / Local Authorities ,BCF IOM MOMD WFP World Vision ,other (specify) ????,HEIVE ,"other (specify) ???? , ?????",other (specify) ????,BCF MOMD ,B.R.H.A other (specify) ??????,B.R.H.A RWANGA ,B.R.H.A
Sheikhan,Iman shalal hussen,,36.6741,43.343517,Ninewa,Shikhan,Camp,,IQ1506-0002,IQ1506-0002,May,Yes,Yes,4,3,WASH Committee Other Committee,LMMS,0,,Facebook Other (please  specify),1004,1004,0,MoMD Tents,1004,0,,,,,,,,,,,852,247,274,771,725,828,838,86,126,,42,0,54,15,65,138,0,0,0,0,0,0,0,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid Generators privately owned,40,Municipal collection,1004,1004,1,Numerous cases of fever 0ne,1,1,0,1,Every month,0,0ne,30,4,1,1,1200,"0t e0ugh teachers Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,300,,"Basic households items (e.g. mattress, blankets, kitchen utensils) Tools, hardware and materials Kerosene",Pension from government Social security Humanitarian aid,500,0,B.R.H.A EMMA HARIKAR IOM MAG UNHCR VOP , ,VOP ,B.R.H.A, ,HARIKAR ,B.R.H.A HARIKAR ,B.R.H.A HARIKAR ,BCF MOMD UNHCR ,IOM , ,IOM UNHCR ,MOMD WFP ,MOMD WFP ,HARIKAR , ,
Surdesh,JCCC,,35.85,45.09,Sulaymaniyah,Dokan,Camp,,IQ0503-0006,IQ0503-0006,May,Yes,Yes,2,2,Camp Management Committee,Excel based,1,"DOLSA , DHRD",Camp Management Team Community leaders Camp Committees,45,400,0,Caravans,,,,,,,,,400,,0,400,63,15,16,47,63,45,33,10,6,,70,0,3,1,0,16,0,1,1,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid,90,Municipal collection,5,400,1,0ne,1,0,2,1,Every month,0,Prefer 0t to say,0,15,0,0,45,"0t e0ugh schools or classrooms Long distance to travel to school Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",0,0,10,Basic food items Hygiene items Basic medicine,Self-employment Public sector/ civil servant Pension from government,300000,30,UNHCR ,CDO DHRD ,Save the Children other (specify) DOLSA,,Government / Local Authorities ,UNICEF , ,UNICEF ,YAO ,DOH Government / Local Authorities , , ,MOMD ,MOMD , , ,
